,Year,State,Table_Data,Footnote,High.Value,Low.Value,CPI.Average,High.2018,Low.2018
0,1968,Alabama,...,,0.0,0.0,34.78333333,0.0,0.0
1,1968,Alaska,2.10,,2.1,2.1,34.78333333,15.12,15.12
2,1968,Arizona,18.72 - 26.40/wk(b),(b),0.66,0.46799999999999997,34.78333333,4.75,3.37
3,1968,Arkansas,1.25/day(b),(b),0.15625,0.15625,34.78333333,1.12,1.12
4,1968,California,1.65(b),(b),1.65,1.65,34.78333333,11.88,11.88
5,1968,Colorado,1.00 - 1.25(b),(b),1.25,1.0,34.78333333,9.0,7.2
6,1968,Connecticut,1.40,,1.4,1.4,34.78333333,10.08,10.08
7,1968,Delaware,1.25,,1.25,1.25,34.78333333,9.0,9.0
8,1968,District of Columbia,1.25 - 1.40,,1.4,1.25,34.78333333,10.08,9.0
9,1968,Federal (FLSA),$1.15 & $1.60,,1.6,1.15,34.78333333,11.52,8.28
10,1968,Florida,...,,0.0,0.0,34.78333333,0.0,0.0
11,1968,Georgia,...,,0.0,0.0,34.78333333,0.0,0.0
12,1968,Guam,1.25,,1.25,1.25,34.78333333,9.0,9.0
13,1968,Hawaii,1.25,,1.25,1.25,34.78333333,9.0,9.0
14,1968,Idaho,1.15,,1.15,1.15,34.78333333,8.28,8.28
15,1968,Illinois,...,,0.0,0.0,34.78333333,0.0,0.0
16,1968,Indiana,1.15,,1.15,1.15,34.78333333,8.28,8.28
17,1968,Iowa,...,,0.0,0.0,34.78333333,0.0,0.0
18,1968,Kansas,...,,0.0,0.0,34.78333333,0.0,0.0
19,1968,Kentucky,.65 - .75(b),(b),0.75,0.65,34.78333333,5.4,4.68
20,1968,Louisiana,...,,0.0,0.0,34.78333333,0.0,0.0
21,1968,Maine,1.40,,1.4,1.4,34.78333333,10.08,10.08
22,1968,Maryland,1.00 & 1.15,,1.15,1.0,34.78333333,8.28,7.2
23,1968,Massachusetts,1.60,,1.6,1.6,34.78333333,11.52,11.52
24,1968,Michigan,1.25,,1.25,1.25,34.78333333,9.0,9.0
25,1968,Minnesota,.70 - 1.15(b),(b),1.15,0.7,34.78333333,8.28,5.04
26,1968,Mississippi,...,,0.0,0.0,34.78333333,0.0,0.0
27,1968,Missouri,...,,0.0,0.0,34.78333333,0.0,0.0
28,1968,Montana,...,,0.0,0.0,34.78333333,0.0,0.0
29,1968,Nebraska,1.00,,1.0,1.0,34.78333333,7.2,7.2
30,1968,Nevada,1.25,,1.25,1.25,34.78333333,9.0,9.0
31,1968,New Hampshire,1.40,,1.4,1.4,34.78333333,10.08,10.08
32,1968,New Jersey,1.40,,1.4,1.4,34.78333333,10.08,10.08
33,1968,New Mexico,1.15 - 1.40,,1.4,1.15,34.78333333,10.08,8.28
34,1968,New York,1.60,,1.6,1.6,34.78333333,11.52,11.52
35,1968,North Carolina,1.00,,1.0,1.0,34.78333333,7.2,7.2
36,1968,North Dakota,1.00 - 1.25,,1.25,1.0,34.78333333,9.0,7.2
37,1968,Ohio,.75 - 1.25(b),(b),1.25,0.75,34.78333333,9.0,5.4
38,1968,Oklahoma,1.00,,1.0,1.0,34.78333333,7.2,7.2
39,1968,Oregon,1.25,,1.25,1.25,34.78333333,9.0,9.0
40,1968,Pennsylvania,1.15,,1.15,1.15,34.78333333,8.28,8.28
41,1968,Puerto Rico,.43 - 1.60,,1.6,0.43,34.78333333,11.52,3.1
42,1968,Rhode Island,1.40,,1.4,1.4,34.78333333,10.08,10.08
43,1968,South Carolina,...,,0.0,0.0,34.78333333,0.0,0.0
44,1968,South Dakota,17.00 - 20.00/wk,,0.5,0.425,34.78333333,3.6,3.06
45,1968,Tennessee,...,,0.0,0.0,34.78333333,0.0,0.0
46,1968,Texas,...,,0.0,0.0,34.78333333,0.0,0.0
47,1968,U.S. Virgin Islands,,,,,34.78333333,,
48,1968,Utah,1.00 - 1.15(b),(b),1.15,1.0,34.78333333,8.28,7.2
